IID,Subsistence,Collection,Sex,ForamenMagnumS,ForamenMagnumT,BicondylarBreadth,DepthEOP,LambdaInion,NuchalCrest,NuchalLine,GeneralForm
52,Hunter_Gatherer,Windover,Male,NA,30.9766666666667,46.75,8.74,69.74,1,3,3
53,Hunter_Gatherer,Windover,Female,33.1233333333333,34.7966666666667,49.08,5.72,56.3133333333333,0,3,2
71,Hunter_Gatherer,Windover,Female,NA,NA,NA,6.74333333333333,63.4633333333333,1,3,2
72,Hunter_Gatherer,Windover,Female,43.2566666666667,29.0833333333333,44.57,4.25333333333333,50.7933333333333,0,4,2
78,Hunter_Gatherer,Windover,Female,36.7133333333333,28.98,48.6766666666667,5.42333333333333,77.2666666666667,0,4,2
81,Hunter_Gatherer,Windover,Female,NA,NA,NA,5.12,67.7533333333333,0,3,2
82,Hunter_Gatherer,Windover,Female,NA,NA,NA,6.61333333333333,64.8533333333333,1,3,2
87,Hunter_Gatherer,Windover,Male,NA,NA,NA,5.30333333333333,70.3333333333333,0,4,2
91,Hunter_Gatherer,Windover,Male,NA,NA,NA,5.17333333333333,75.91,1,5,2
92,Hunter_Gatherer,Windover,Male,35.91,33.7633333333333,58.4033333333333,6.26666666666667,69.6433333333333,1,5,2
93,Hunter_Gatherer,Windover,Female,33.6166666666667,29.2566666666667,NA,6.58333333333333,68.5266666666667,1,4,2
94,Hunter_Gatherer,Windover,Male,NA,NA,NA,6.07666666666667,69.9766666666667,1,5,3
95,Hunter_Gatherer,Windover,Male,39.2366666666667,29.3466666666667,49.8566666666667,7.15333333333333,63.8966666666667,1,4,2
97,Hunter_Gatherer,Windover,Male,37.3133333333333,33.8033333333333,54.5966666666667,4.01333333333333,63.2566666666667,1,5,2
101,Hunter_Gatherer,Windover,Female,35.01,28.7266666666667,48.7566666666667,3.20333333333333,44.4766666666667,0,3,2
110,Hunter_Gatherer,Windover,Male,37.1666666666667,29.31,52.4466666666667,5.42333333333333,65.3466666666667,1,4,2
111,Hunter_Gatherer,Windover,Male,NA,36.7033333333333,NA,8.81,80.43,1,5,3
120,Hunter_Gatherer,Windover,Male,NA,31.0466666666667,NA,5.12666666666667,67.7766666666667,1,4,2
123,Hunter_Gatherer,Windover,Male,NA,NA,NA,8.65666666666667,69.2466666666667,1,4,3
